Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Control of Corruption: Percentile Rank,CC.PER.RNK,South Africa,ZAF,74.11167,62.38095,58.76777,55.45024,56.39811,54.80769,58.17308,61.05769,56.73077,57.21154,59.61538
Control of Corruption: Percentile Rank,CC.PER.RNK,South Sudan,SSD,..,21.42857,3.317536,5.21327,3.791469,0.9615384,0.4807692,0.4807692,0.9615384,0.4807692,0
Control of Corruption: Percentile Rank,CC.PER.RNK,Spain,ESP,89.84772,82.38095,82.46445,83.41232,78.19905,72.11539,69.71154,68.26923,68.26923,72.59615,73.55769
Control of Corruption: Percentile Rank,CC.PER.RNK,Sri Lanka,LKA,52.28426,41.42857,43.12796,50.7109,51.65877,44.71154,45.19231,45.67308,41.34615,43.26923,44.23077
Control of Corruption: Percentile Rank,CC.PER.RNK,St. Kitts and Nevis,KNA,60.9137,81.42857,81.04266,80.09479,80.09479,62.98077,68.26923,67.78846,68.75,67.78846,66.34615
Control of Corruption: Percentile Rank,CC.PER.RNK,St. Lucia,LCA,71.5736,84.7619,84.36019,81.04266,81.51659,67.30769,71.15385,71.15385,71.15385,69.71154,69.23077
Control of Corruption: Percentile Rank,CC.PER.RNK,St. Vincent and the Grenadines,VCT,60.9137,81.42857,81.04266,80.09479,80.09479,71.63461,74.03846,73.55769,75.48077,78.84615,77.88461
Control of Corruption: Percentile Rank,CC.PER.RNK,Sudan,SDN,23.35025,9.523809,9.00474,0.9478673,1.421801,3.365385,3.365385,3.846154,3.365385,5.769231,7.692307
Control of Corruption: Percentile Rank,CC.PER.RNK,Suriname,SUR,71.06599,46.66667,49.76303,45.97157,47.8673,39.90385,50.48077,46.15385,50,48.07692,40.38462
Control of Corruption: Percentile Rank,CC.PER.RNK,Sweden,SWE,98.98477,99.04762,98.5782,99.05213,98.5782,98.07692,98.55769,98.07692,98.07692,98.07692,98.55769
Control of Corruption: Percentile Rank,CC.PER.RNK,Switzerland,CHE,94.92386,96.66666,95.7346,97.63033,97.63033,97.59615,97.59615,95.67308,96.63461,96.63461,96.15385
Control of Corruption: Percentile Rank,CC.PER.RNK,Syrian Arab Republic,SYR,14.2132,12.85714,13.74408,9.952606,8.530806,2.403846,1.923077,2.403846,2.403846,1.442308,1.442308
Control of Corruption: Percentile Rank,CC.PER.RNK,"Taiwan, China",TWN,76.64975,73.80952,78.19905,73.93365,73.93365,76.92308,76.92308,79.32692,81.25,81.73077,82.69231
Control of Corruption: Percentile Rank,CC.PER.RNK,Tajikistan,TJK,5.583756,4.761905,8.056872,6.635071,7.109005,12.5,11.53846,12.01923,7.692307,6.25,9.134615
Control of Corruption: Percentile Rank,CC.PER.RNK,Tanzania,TZA,25.88832,35.23809,33.64929,25.59242,22.74882,25.48077,27.40385,35.09615,40.86538,39.42308,40.86538
Control of Corruption: Percentile Rank,CC.PER.RNK,Thailand,THA,51.26904,46.19048,47.39336,44.07583,45.97157,38.94231,37.01923,42.30769,42.78846,40.86538,39.42308
Control of Corruption: Percentile Rank,CC.PER.RNK,Timor-Leste,TLS,..,23.80952,22.27488,26.54029,28.90995,35.57692,36.53846,34.61538,34.61538,38.46154,41.34615
Control of Corruption: Percentile Rank,CC.PER.RNK,Togo,TGO,26.90355,17.14286,17.06161,16.11374,15.16588,18.26923,25.48077,28.36539,25.96154,25.48077,25.48077
Control of Corruption: Percentile Rank,CC.PER.RNK,Tonga,TON,40.10152,45.71429,46.4455,46.91943,47.39336,47.11538,38.94231,38.46154,51.44231,54.80769,41.82692
Control of Corruption: Percentile Rank,CC.PER.RNK,Trinidad and Tobago,TTO,63.95939,53.80952,54.9763,53.5545,51.18483,42.78846,47.11538,50,44.23077,44.23077,49.03846
Control of Corruption: Percentile Rank,CC.PER.RNK,Tunisia,TUN,48.22335,48.57143,56.39811,56.87204,56.87204,55.76923,55.76923,53.36538,53.84615,56.25,52.88462
Control of Corruption: Percentile Rank,CC.PER.RNK,Turkey,TUR,49.74619,58.57143,58.29384,62.55924,61.13744,52.88462,53.36538,50.48077,49.51923,43.75,44.71154
Control of Corruption: Percentile Rank,CC.PER.RNK,Turkmenistan,TKM,9.137055,1.428571,1.421801,1.895735,2.843602,6.730769,5.769231,4.326923,4.326923,8.173077,3.846154
Control of Corruption: Percentile Rank,CC.PER.RNK,Tuvalu,TUV,70.55837,49.04762,36.96682,45.49763,43.12796,57.21154,56.73077,58.65385,58.65385,58.65385,66.82692
Control of Corruption: Percentile Rank,CC.PER.RNK,Uganda,UGA,22.33503,18.57143,18.95735,17.06161,13.27014,12.98077,13.46154,12.98077,13.94231,14.42308,11.53846
Control of Corruption: Percentile Rank,CC.PER.RNK,Ukraine,UKR,8.629441,16.19048,15.63981,12.79621,11.37441,14.90385,14.90385,21.15385,22.11539,18.26923,26.44231
Control of Corruption: Percentile Rank,CC.PER.RNK,United Arab Emirates,ARE,61.42132,78.57143,81.99052,83.88625,87.20379,83.17308,82.69231,84.13461,82.69231,83.65385,83.65385
Control of Corruption: Percentile Rank,CC.PER.RNK,United Kingdom,GBR,95.93909,92.38095,92.41706,92.891,93.36493,93.26923,93.75,94.23077,94.71154,93.26923,93.75
Control of Corruption: Percentile Rank,CC.PER.RNK,United States,USA,92.38579,85.71429,85.78199,89.57346,87.67773,89.42308,89.90385,89.90385,88.94231,88.46154,84.61539
Control of Corruption: Percentile Rank,CC.PER.RNK,Uruguay,URY,82.74112,86.19048,86.25592,88.6256,89.57346,89.90385,89.42308,88.46154,88.46154,87.5,87.98077
Control of Corruption: Percentile Rank,CC.PER.RNK,Uzbekistan,UZB,13.19797,4.285714,3.791469,4.739336,8.056872,9.615385,8.653846,11.05769,12.01923,12.98077,14.42308
Control of Corruption: Percentile Rank,CC.PER.RNK,Vanuatu,VUT,46.70051,64.28571,65.87678,66.35071,64.45498,68.75,54.32692,54.80769,57.69231,50.48077,47.11538
Control of Corruption: Percentile Rank,CC.PER.RNK,"Venezuela, RB",VEN,30.45685,7.619048,10.42654,7.582938,5.687204,4.326923,4.326923,6.730769,7.211538,4.807693,4.326923
Control of Corruption: Percentile Rank,CC.PER.RNK,Vietnam,VNM,32.99492,31.42857,32.70142,36.01896,38.86256,40.86538,41.82692,37.5,31.25,37.98077,34.13462
Control of Corruption: Percentile Rank,CC.PER.RNK,Virgin Islands (U.S.),VIR,..,77.14286,75.82938,76.30331,76.77725,74.03846,72.59615,72.11539,73.07692,73.55769,72.59615
Control of Corruption: Percentile Rank,CC.PER.RNK,West Bank and Gaza,PSE,55.32995,54.76191,39.81042,50.23697,49.2891,49.51923,40.38462,51.92308,56.25,48.55769,46.63462
Control of Corruption: Percentile Rank,CC.PER.RNK,"Yemen, Rep.",YEM,13.70558,9.047619,6.635071,8.530806,9.00474,1.923077,2.884615,1.442308,1.442308,0.9615384,1.923077
Control of Corruption: Percentile Rank,CC.PER.RNK,Zambia,ZMB,28.93401,37.14286,42.65403,47.8673,46.4455,45.19231,45.67308,41.34615,34.13462,27.88461,28.36539
Control of Corruption: Percentile Rank,CC.PER.RNK,Zimbabwe,ZWE,16.24365,3.333333,2.843602,2.843602,3.317536,4.807693,6.730769,9.615385,9.615385,10.09615,10.09615
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,,,,,,
Last Updated: 09/28/2020,,,,,,,,,,,,,,
