Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Control of Corruption: Percentile Rank,CC.PER.RNK,Eswatini,SWZ,51.77665,50.47619,44.54976,41.70616,41.70616,41.34615,43.75,37.98077,46.15385,47.11538,35.09615
Control of Corruption: Percentile Rank,CC.PER.RNK,Ethiopia,ETH,38.07107,28.09524,28.43602,32.22749,37.91469,39.42308,40.86538,39.90385,33.17308,37.5,39.90385
Control of Corruption: Percentile Rank,CC.PER.RNK,Fiji,FJI,64.97462,40,54.50237,56.39811,54.50237,61.05769,62.01923,61.53846,65.38461,67.30769,70.19231
Control of Corruption: Percentile Rank,CC.PER.RNK,Finland,FIN,100,98.09524,99.05213,98.10426,98.10426,98.55769,99.51923,99.51923,99.03846,100,99.03846
Control of Corruption: Percentile Rank,CC.PER.RNK,France,FRA,89.3401,89.52381,90.52132,90.04739,88.15166,88.94231,88.94231,90.38461,87.5,87.98077,88.94231
Control of Corruption: Percentile Rank,CC.PER.RNK,French Guiana,GUF,82.23351,84.28571,83.41232,82.93839,82.93839,81.73077,81.73077,81.25,81.73077,81.25,80.76923
Control of Corruption: Percentile Rank,CC.PER.RNK,Gabon,GAB,29.44162,20.47619,19.90521,28.43602,29.38389,28.36539,26.44231,23.55769,20.19231,18.75,17.78846
Control of Corruption: Percentile Rank,CC.PER.RNK,"Gambia, The",GMB,42.13198,32.38095,37.44076,30.33175,27.48815,27.88461,23.07692,21.63461,29.80769,38.94231,45.19231
Control of Corruption: Percentile Rank,CC.PER.RNK,Georgia,GEO,15.22843,57.14286,61.61137,68.72038,69.66824,76.44231,74.51923,74.03846,77.40385,76.44231,74.03846
Control of Corruption: Percentile Rank,CC.PER.RNK,Germany,DEU,93.40102,93.33334,93.36493,94.3128,94.3128,94.71154,93.26923,93.75,94.23077,95.19231,95.19231
