Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Uzbekistan,UZB,35.9025766233094,31.9363452198741,33.9938369625544,31.6621060982859,30.8051935561508,28.9000360999306,30.3943318987226,27.8143471035038,28.455901201856,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Vanuatu,VUT,13.6705503558058,14.0665460882914,14.3829640193688,13.2424523853195,12.740692894229,11.9338516831532,12.1572100060446,11.5909089578251,11.6527770296143,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Venezuela, RB",VEN,21.4571592760405,21.6102820224244,22.0331079235481,21.2457275263826,20.4289497348793,19.1040615270029,18.3030057440313,16.7679938389734,17.0085535697031,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Vietnam,VNM,35.9284773247318,36.2388454276341,38.486974798001,37.2274515446179,36.835906408279,34.8960150524249,32.4664438201196,30.241311565908,29.6267283386303,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Virgin Islands (U.S.),VIR,10.2992526553631,12.8507561357211,12.9937384396102,12.2331231375092,11.9555131352812,11.1658167008995,11.0288965101129,10.2648434328621,10.2653122841077,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,West Bank and Gaza,PSE,34.225751051085,33.8537516297179,32.8733127376724,32.7694590415318,33.4929635793704,33.4482827649975,33.8914115097154,32.7420676391984,33.2256303758951,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Yemen, Rep.",YEM,48.8637265189059,50.8679328986047,50.8352907813213,51.4344540228684,52.9984433505284,48.3386526659716,54.2602866641917,50.1276256656301,50.4560068932715,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Zambia,ZMB,32.7648450942645,30.8982041470718,28.9871167369868,29.7420395289995,29.1122207838349,28.4932518913568,28.3754516793263,27.3556737084119,27.438034758712,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Zimbabwe,ZWE,23.3199079113891,23.1263731791441,23.0742126582887,23.1980971225069,23.1110875484945,22.805949655883,21.733708579985,21.7269471803424,22.2516710932407,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Arab World,ARB,53.3002660564708,53.0630756716598,52.6522786914544,53.2972698457394,54.0538218491081,52.5836028395011,60.4068134713159,58.7649047109991,58.6892586101525,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Caribbean small states,CSS,22.5796449072394,22.7258340935564,23.6044636814059,22.1764972928045,21.4564188941963,19.9665384728529,20.0873788512754,19.1023735180726,19.0098341062537,..,..,..
