Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Burkina Faso,BFA,..,3.04,..,..,..,..,4.14,..,..,4.2,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Burundi,BDI,..,3.86,..,..,..,..,2.74,..,..,2.79,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Cabo Verde,CPV,..,2.73,..,..,..,..,2.59,..,..,2.44,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Cambodia,KHM,..,0.79,..,..,..,..,2.63,..,..,2.72,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Cameroon,CMR,..,2.78,..,..,..,..,2.59,..,..,2.36,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Canada,CAN,..,..,..,..,..,..,4.04,..,..,4.07,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Central African Republic,CAF,..,1.5,..,..,..,..,0.99,..,..,0.98,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Chad,TCD,..,1.54,..,..,..,..,0.53,..,..,0.5,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Chile,CHL,..,3.7,..,..,..,..,4.49,..,..,4.4,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,China,CHN,..,1.52,..,..,..,..,3.04,..,..,3.02,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Colombia,COL,..,2.3,..,..,..,..,2.39,..,..,2.37,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Comoros,COM,..,0.05,..,..,..,..,0.23,..,..,0.18,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,"Congo, Dem. Rep.",COD,..,0.4,..,..,..,..,0.85,..,..,0.83,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,"Congo, Rep.",COG,..,1.48,..,..,..,..,3.38,..,..,3.96,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Costa Rica,CRI,..,2.25,..,..,..,..,1.96,..,..,2,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Cote d'Ivoire,CIV,..,2.69,..,..,..,..,1.01,..,..,1.05,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Croatia,HRV,..,5.86,..,..,..,..,4.15,..,..,4.22,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Cuba,CUB,..,2,..,..,..,..,2.37,..,..,2.44,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Cyprus,CYP,..,5,..,..,..,..,4.75,..,..,4.76,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Czech Republic,CZE,..,7.36,..,..,..,..,6.91,..,..,6.99,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Denmark,DNK,..,6.13,..,..,..,..,4.91,..,..,4.86,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Djibouti,DJI,..,0.45,..,..,..,..,0.13,..,..,0.12,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Dominica,DMA,..,3.4,..,..,..,..,4.63,..,..,4.57,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Dominican Republic,DOM,..,2.94,..,..,..,..,2.77,..,..,2.81,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Ecuador,ECU,..,2.84,..,..,..,..,2.38,..,..,2,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,"Egypt, Arab Rep.",EGY,..,0.069,..,..,..,..,0.11,..,..,0.097,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,El Salvador,SLV,..,1.62,..,..,..,..,1.54,..,..,1.67,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Equatorial Guinea,GNQ,..,3.32,..,..,..,..,4.16,..,..,3.27,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Eritrea,ERI,..,0.55,..,..,..,..,0.5,..,..,0.5,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Estonia,EST,..,4.35,..,..,..,..,5.87,..,..,4.35,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Eswatini,SWZ,..,2.82,..,..,..,..,3.69,..,..,3.76,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Ethiopia,ETH,..,0.62,..,..,..,..,0.77,..,..,0.83,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Fiji,FJI,..,1.12,..,..,..,..,1.12,..,..,1.11,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Finland,FIN,..,5.49,..,..,..,..,5.25,..,..,5.05,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,France,FRA,..,6.8,..,..,..,..,5.97,..,..,5.83,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Gabon,GAB,..,4.95,..,..,..,..,4.37,..,..,3.97,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,"Gambia, The",GMB,..,1.37,..,..,..,..,1.2,..,..,1.16,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Georgia,GEO,..,1.9,..,..,..,..,4.2,..,..,3.59,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Germany,DEU,..,6.84,..,..,..,..,6.3,..,..,6.21,..,..
